RecordNum,Phys1Grade,PhysicsITimes,P1_PrevGrade
1,B+,1,N
2,B,1,N
3,B,1,N
4,C,1,N
5,B+,1,N
6,,0,N
7,H,1,N
8,C,1,N
9,B-,1,N
10,B-,1,N
11,C+,1,N
12,A-,1,N
13,A,1,N
14,B+,1,N
15,H,1,N
16,B-,1,N
17,B+,1,N
18,B+,1,N
19,B+,1,N
20,H,1,N
21,W,1,N
22,,0,N
23,B+,1,N
24,B,1,N
25,B-,1,N
26,A-,1,N
27,B,1,N
28,A,1,N
29,A,1,N
30,B,1,N
31,C+,1,N
32,B-,1,N
33,B-,1,N
34,A,1,N
35,B,1,N
36,A-,1,N
37,C+,1,N
38,B,1,N
39,A,1,N
40,B-,1,N
41,B,1,N
42,C+,1,N
43,C,1,N
44,C-,1,N
45,B,1,N
46,F,1,N
47,B,1,N
48,B-,1,N
49,B,1,N
50,A,1,N
51,C,1,N
52,A,1,N
53,W,1,N
54,A,1,N
55,A-,1,N
56,B-,1,N
57,,0,N
58,B+,1,N
59,B+,1,N
60,B-,1,N
61,B,1,N
62,C,1,N
63,A-,1,N
64,B-,1,N
65,B+,1,N
66,A,1,N
67,B,1,N
68,B-,1,N
69,B+,1,N
70,C,1,N
71,A,1,N
72,C-,1,N
73,D,1,N
74,B-,1,N
75,H,1,N
76,B-,1,N
77,B+,1,N
78,C-,1,N
79,,0,N
80,B,1,N
81,B-,1,N
82,A,1,N
83,C,1,N
84,B-,1,N
85,A-,1,N
86,A-,1,N
87,C+,1,N
88,C,1,N
89,C,1,N
90,A,1,N
91,C,1,N
92,B+,1,N
93,B+,1,N
94,C-,1,N
95,A,1,N
96,A-,1,N
97,C+,1,N
98,C-,1,N
99,C-,1,N
100,B,1,N
101,C+,1,N
102,F,2,F
103,B+,1,N
104,B+,1,N
105,B-,1,N
106,,0,N
107,B-,1,N
108,B,1,N
109,,0,N
110,,0,N
111,C,1,N
112,C+,1,N
113,B,1,N
114,A,1,N
115,B+,1,N
116,H,1,N
117,A-,1,N
118,,0,N
119,,0,N
120,A-,1,N
121,F,1,N
122,B+,1,N
123,A,1,N
124,,0,N
125,C-,1,N
126,B,1,N
127,B+,1,N
128,A-,1,N
