RecordNum,Phys1Grade
1,B+
2,B
3,B
4,C
5,B+
6,
7,H
8,C
9,B-
10,B-
11,C+
12,A-
13,A
14,B+
15,H
16,B-
17,B+
18,B+
19,B+
20,H
21,W
22,
23,B+
24,B
25,B-
26,A-
27,B
28,A
29,A
30,B
31,C+
32,B-
33,B-
34,A
35,B
36,A-
37,C+
38,B
39,A
40,B-
41,B
42,C+
43,C
44,C-
45,B
46,F
47,B
48,B-
49,B
50,A
51,C
52,A
53,W
54,A
55,A-
56,B-
57,
58,B+
59,B+
60,B-
61,B
62,C
63,A-
64,B-
65,B+
66,A
67,B
68,B-
69,B+
70,C
71,A
72,C-
73,D
74,B-
75,H
76,B-
77,B+
78,C-
79,
80,B
81,B-
82,A
83,C
84,B-
85,A-
86,A-
87,C+
88,C
89,C
90,A
91,C
92,B+
93,B+
94,C-
95,A
96,A-
97,C+
98,C-
99,C-
100,B
101,C+
102,F
103,B+
104,B+
105,B-
106,
107,B-
108,B
109,
110,
111,C
112,C+
113,B
114,A
115,B+
116,H
117,A-
118,
119,
120,A-
121,F
122,B+
123,A
124,
125,C-
126,B
127,B+
128,A-
129,H
130,C
131,C
132,
133,C+
134,C
135,A-
136,B+
137,A-
138,C
139,C
140,C-
141,B-
142,B+
143,B-
144,C+
145,C
146,A
147,B-
148,
149,A
150,C
151,B-
152,B+
153,B
154,C+
155,B+
156,C
157,C+
158,
159,B+
160,C+
161,
162,B
163,C+
164,C-
165,A
166,B+
167,A-
168,B-
169,C-
170,C-
171,A-
172,A-
173,C+
174,C-
175,C+
176,H
177,
178,
179,B
180,A
181,B-
182,B
183,C+
184,A
185,B+
186,
187,B
188,B
189,C-
190,
191,B-
192,C+
193,B-
194,A
195,A
196,C-
197,B+
198,C+
199,A
200,
201,C+
202,B+
203,B-
204,B-
205,A-
206,C-
207,B+
208,C+
209,B+
210,H
211,B+
212,H
213,F
214,
215,F
216,B
217,A
218,A
219,B+
220,A
221,A
222,W
223,B
224,A-
225,B
226,H
227,B+
228,C
229,C-
230,C
231,B+
232,C+
233,B-
234,D
235,B-
236,B-
237,C+
238,B+
239,B-
240,B+
241,C+
242,A-
243,B-
244,C
245,A-
246,B+
247,B-
248,
249,A
250,B+
251,B-
252,H
253,B+
254,H
255,F
256,B+
257,B+
258,B+
259,C
260,
261,B
262,B-
263,B
264,B+
265,B+
266,B-
267,C+
268,H
269,H
270,C
271,C
272,B
273,C
274,C
275,C
276,A-
277,C+
278,B+
279,B+
280,B+
281,
282,B+
283,A
284,H
285,C+
286,A-
287,B+
288,
289,C+
290,A-
291,C
292,C+
293,A
294,A
295,C-
296,C
297,A-
298,B+
299,B
300,B+
301,A
302,W
303,B+
304,A
305,A
306,
307,B-
308,B+
309,A
310,B-
311,A-
312,D
313,H
314,C+
315,H
316,B-
317,C
318,C
319,A
320,B+
321,H
322,B
323,H
324,C-
325,H
326,
327,F
328,C+
329,C+
330,
331,H
332,C+
333,C+
334,C
335,B-
336,C
337,C+
338,
339,A-
340,B-
341,B-
342,B+
343,B+
344,
345,C+
346,B
347,B-
348,B
349,A-
350,
351,B
352,W
353,C
354,C+
355,B+
356,H
357,B-
358,B
359,H
360,C+
361,
362,
363,B
364,A-
365,B
366,A
367,B+
368,A-
369,H
370,C+
371,A
372,A-
373,H
374,B-
375,B+
376,H
377,C-
378,A-
379,B
380,B+
381,B
382,C+
383,B+
384,A
385,B-
386,C
387,C+
388,C+
389,C-
390,A-
391,B+
392,B
393,B-
394,B
395,B
396,C+
397,H
398,A
399,B-
400,C
401,B
402,W
403,H
404,C+
405,A-
406,C+
407,B+
408,C
409,C+
410,A
411,C
412,A
413,H
414,C+
415,B+
416,B
417,B+
418,C-
419,B+
420,
421,B+
422,
423,C+
424,H
425,C+
426,B
427,
428,C+
429,B
430,B+
431,H
432,B
433,H
434,B-
435,H
436,A
437,A
438,H
439,B
440,B-
441,C
442,C
443,A-
444,B
445,B-
446,B-
447,C+
448,B
449,C+
450,B-
451,D
452,A
453,A
454,A
455,C
456,A-
457,A
458,A
459,C+
460,A
461,B-
462,H
463,B
464,A-
465,A
466,B+
467,B-
468,A-
469,B
470,C+
471,B
472,F
473,
474,H
475,B
476,A
477,B+
478,H
479,
480,C-
481,B
482,B-
483,B+
484,
485,C+
486,B+
487,B-
488,A
489,B
490,C
491,C+
492,A
493,A-
494,C
495,C+
496,A-
497,H
498,B-
499,B
500,C
501,H
502,B+
503,C+
504,A-
505,H
506,B+
507,B
508,B-
509,A
510,C
511,B
512,B-
513,B
514,A
515,
516,C
517,H
518,A
519,B
520,A-
521,
522,A-
523,B
524,B+
525,C
526,B+
527,C+
528,C+
529,B
530,B+
531,H
532,A
533,A-
534,B-
535,
536,C+
537,A
538,A
539,C+
540,B-
541,B
542,C+
543,B+
544,B-
545,H
546,
547,C+
548,A-
549,A-
550,C
551,A-
552,C+
553,B+
554,A
555,B+
556,
557,B+
558,D
559,A-
560,D
561,B+
562,C
563,B
564,
565,B-
566,A
567,B-
568,
569,C+
570,B+
571,B-
572,B-
573,A
574,C+
575,A
576,B+
577,A
578,B
579,A-
580,H
581,B-
582,H
583,H
584,H
585,H
586,F
587,
588,
589,C
590,A
591,A
592,B-
593,B-
594,B+
595,C-
596,H
597,B
598,A
599,B-
600,B+
601,A-
602,
603,A
604,C-
605,H
606,B+
607,C+
608,B+
