RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,Phys1Grade,PhysicsITimes,P1_PrevGrade
1,MALE,2020,TwoOrMore,3111,2.98,3.8,4,ACT,630,630,1,C+,2.3,B+,1,N
2,MALE,2020,White,3111,3.06,89.88,100,ACT,800,580,1,B,3,B,1,N
3,MALE,2020,White,3111,3.26,0,0,SAT,550,600,1,B,3,B,1,N
4,MALE,2020,Black,3111,2.6,3.01,4,ACT,630,540,1,D,1,C,1,N
5,FEMALE,2020,White,3111,3.52,3.76,4,ACT,680,600,1,B,3,B+,1,N
6,FEMALE,2020,Hispanic,3211,2.51,100,100,SAT,680,760,0,,,,0,N
7,FEMALE,2020,TwoOrMore,3111,3.81,4,4,SAT,680,620,1,H,4,H,1,N
8,MALE,2020,White,3111,2.97,3.88,5.25,SAT,630,600,1,D,1,C,1,N
9,FEMALE,2020,Black,3111,3.26,0,0,SAT,500,570,1,C,2,B-,1,N
10,MALE,2020,Black,3111,3.08,3.81,4,SAT,620,520,1,D,1,B-,1,N
11,FEMALE,2020,White,3111,2.85,4,4,ACT,620,740,1,B,3,C+,1,N
12,FEMALE,2020,White,3111,3.62,4,4,ACT,700,740,1,A-,3.7,A-,1,N
13,MALE,2020,White,3111,3.62,3.95,4,SAT,660,600,1,B+,3.3,A,1,N
14,FEMALE,2020,Hispanic,3111,3.1,4,4,SAT,760,740,1,B,3,B+,1,N
15,FEMALE,2020,White,3111,3.39,3.92,4,ACT,790,740,1,B,3,H,1,N
16,MALE,2020,TwoOrMore,3111,3.57,3.74,4,ACT,740,630,1,B+,3.3,B-,1,N
17,MALE,2020,White,3111,3.73,3.76,4,SAT,650,670,1,A-,3.7,B+,1,N
18,MALE,2020,White,3115,2.28,3.6,4,ACT,700,660,0,,,B+,1,N
19,MALE,2020,White,3111,3.06,4,4,SAT,700,680,1,C+,2.3,B+,1,N
20,MALE,2020,White,3111,3.78,91,100,SAT,740,520,1,H,4,H,1,N
21,MALE,2020,White,3111,3.7,3.93,4,ACT,720,780,1,W,,W,1,N
22,FEMALE,2020,Black,3107,1.54,0,0,ACT,480,740,1,F,0,,0,N
23,FEMALE,2020,TwoOrMore,3107,3.51,3.89,4,SAT,610,500,1,B+,3.3,B+,1,N
24,MALE,2020,Hispanic,3111,3.16,3.86,4,SAT,670,680,1,B+,3.3,B,1,N
25,MALE,2020,Decline to answer,3111,3.08,3.74,4,ACT,660,740,1,B+,3.3,B-,1,N
26,MALE,2020,White,3111,3.13,3.66,4,SAT,680,640,1,B,3,A-,1,N
27,MALE,2020,White,3111,2.9,4,4,SAT,660,530,1,A-,3.7,B,1,N
28,FEMALE,2020,White,3111,3.66,96.4,100,SAT,670,620,1,A-,3.7,A,1,N
29,FEMALE,2020,White,3107,3.5,94.77,100,ACT,610,600,1,C+,2.3,A,1,N
30,MALE,2020,White,3115,3.33,97.25,100,SAT,660,650,0,,,B,1,N
31,FEMALE,2020,White,3107,3.17,4,4,ACT,600,660,1,C,2,C+,1,N
32,FEMALE,2020,White,3111,2.98,91.9,100,ACT,630,710,1,C-,1.7,B-,1,N
33,MALE,2020,White,3111,2.82,3.52,4,ACT,650,630,1,C-,1.7,B-,1,N
34,FEMALE,2020,White,3111,3.72,3.98,4,ACT,670,710,1,A,4,A,1,N
35,MALE,2020,White,3111,3.67,3.98,4,SAT,650,660,1,A-,3.7,B,1,N
36,FEMALE,2020,White,3111,3.77,4,4,SAT,650,550,1,A,4,A-,1,N
37,MALE,2020,Hispanic,3111,3.32,3.83,4,ACT,630,680,1,C,2,C+,1,N
