RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,PhysicsITimes
1,MALE,2020,TwoOrMore,3111,2.98,3.8,4,ACT,630,630,1,C+,2.3,1
2,MALE,2020,White,3111,3.06,89.88,100,ACT,800,580,1,B,3,1
3,MALE,2020,White,3111,3.26,0,0,SAT,550,600,1,B,3,1
4,MALE,2020,Black,3111,2.6,3.01,4,ACT,630,540,1,D,1,1
5,FEMALE,2020,White,3111,3.52,3.76,4,ACT,680,600,1,B,3,1
6,FEMALE,2020,Hispanic,3211,2.51,100,100,SAT,680,760,0,,,0
7,FEMALE,2020,TwoOrMore,3111,3.81,4,4,SAT,680,620,1,H,4,1
8,MALE,2020,White,3111,2.97,3.88,5.25,SAT,630,600,1,D,1,1
9,FEMALE,2020,Black,3111,3.26,0,0,SAT,500,570,1,C,2,1
10,MALE,2020,Black,3111,3.08,3.81,4,SAT,620,520,1,D,1,1
11,FEMALE,2020,White,3111,2.85,4,4,ACT,620,740,1,B,3,1
12,FEMALE,2020,White,3111,3.62,4,4,ACT,700,740,1,A-,3.7,1
13,MALE,2020,White,3111,3.62,3.95,4,SAT,660,600,1,B+,3.3,1
14,FEMALE,2020,Hispanic,3111,3.1,4,4,SAT,760,740,1,B,3,1
15,FEMALE,2020,White,3111,3.39,3.92,4,ACT,790,740,1,B,3,1
16,MALE,2020,TwoOrMore,3111,3.57,3.74,4,ACT,740,630,1,B+,3.3,1
17,MALE,2020,White,3111,3.73,3.76,4,SAT,650,670,1,A-,3.7,1
18,MALE,2020,White,3115,2.28,3.6,4,ACT,700,660,0,,,1
19,MALE,2020,White,3111,3.06,4,4,SAT,700,680,1,C+,2.3,1
20,MALE,2020,White,3111,3.78,91,100,SAT,740,520,1,H,4,1
21,MALE,2020,White,3111,3.7,3.93,4,ACT,720,780,1,W,,1
22,FEMALE,2020,Black,3107,1.54,0,0,ACT,480,740,1,F,0,0
23,FEMALE,2020,TwoOrMore,3107,3.51,3.89,4,SAT,610,500,1,B+,3.3,1
24,MALE,2020,Hispanic,3111,3.16,3.86,4,SAT,670,680,1,B+,3.3,1
25,MALE,2020,Decline to answer,3111,3.08,3.74,4,ACT,660,740,1,B+,3.3,1
26,MALE,2020,White,3111,3.13,3.66,4,SAT,680,640,1,B,3,1
27,MALE,2020,White,3111,2.9,4,4,SAT,660,530,1,A-,3.7,1
28,FEMALE,2020,White,3111,3.66,96.4,100,SAT,670,620,1,A-,3.7,1
29,FEMALE,2020,White,3107,3.5,94.77,100,ACT,610,600,1,C+,2.3,1
30,MALE,2020,White,3115,3.33,97.25,100,SAT,660,650,0,,,1
31,FEMALE,2020,White,3107,3.17,4,4,ACT,600,660,1,C,2,1
32,FEMALE,2020,White,3111,2.98,91.9,100,ACT,630,710,1,C-,1.7,1
33,MALE,2020,White,3111,2.82,3.52,4,ACT,650,630,1,C-,1.7,1
34,FEMALE,2020,White,3111,3.72,3.98,4,ACT,670,710,1,A,4,1
35,MALE,2020,White,3111,3.67,3.98,4,SAT,650,660,1,A-,3.7,1
36,FEMALE,2020,White,3111,3.77,4,4,SAT,650,550,1,A,4,1
37,MALE,2020,Hispanic,3111,3.32,3.83,4,ACT,630,680,1,C,2,1
38,MALE,2020,White,3111,3.07,4,4,ACT,630,720,1,D,1,1
39,MALE,2020,Asian,3115,3.2,4,4,SAT,720,580,0,,,1
40,FEMALE,2020,White,3111,3.32,0,0,SAT,630,550,1,C+,2.3,1
41,FEMALE,2020,White,3107,2.88,0,0,SAT,560,620,1,C,2,1
42,MALE,2020,TwoOrMore,3111,2.94,3.56,4,SAT,640,560,1,B+,3.3,1
43,FEMALE,2020,White,3111,2.98,0,0,SAT,630,610,1,C-,1.7,1
44,FEMALE,2020,Hispanic,3107,2.4,0,0,SAT,540,500,1,C,2,1
45,MALE,2020,White,3111,3.38,3.62,4,ACT,610,680,1,C-,1.7,1
46,MALE,2020,TwoOrMore,3111,1.03,2.96,4,SAT,650,640,2,W,,1
47,MALE,2020,White,3111,3.49,3.38,4,ACT,660,790,1,C-,1.7,1
48,FEMALE,2020,White,3115,2.84,3.49,4,ACT,740,680,0,,,1
49,MALE,2020,White,3115,3.26,3.93,4,SAT,740,690,0,,,1
50,MALE,2020,Hispanic,3107,3.33,91.2,100,SAT,650,680,1,D,1,1
51,FEMALE,2020,Black,3111,2.12,3.27,4,ACT,660,600,1,C,2,1
52,MALE,2020,TwoOrMore,3111,2.7,3.29,4,SAT,720,720,1,A,4,1
53,MALE,2020,White,3111,3,3.77,4,ACT,660,600,1,W,,1
54,MALE,2020,White,3111,3.43,3.72,4,SAT,620,620,1,B-,2.7,1
55,FEMALE,2020,TwoOrMore,3111,3.42,3.81,4,ACT,760,780,1,B+,3.3,1
56,FEMALE,2020,White,3111,3.17,3.37,4,ACT,630,660,1,B,3,1
57,FEMALE,2020,,3213,3.44,3.49,4,ACT,540,500,0,,,0
58,FEMALE,2020,TwoOrMore,3111,3.16,4,4,SAT,640,630,1,B,3,1
59,FEMALE,2020,White,3111,3.63,98.95,100,SAT,660,640,1,A-,3.7,1
60,MALE,2020,Black,3111,2.08,0,0,SAT,620,450,1,B,3,1
61,FEMALE,2020,White,3111,2.86,3.71,4,SAT,630,650,1,C,2,1
62,MALE,2020,White,3111,2.83,85.06,100,ACT,660,600,2,D,1,1
63,FEMALE,2020,White,3111,3.33,3.89,4,SAT,660,800,1,B,3,1
64,FEMALE,2020,TwoOrMore,3107,3.16,0,0,SAT,590,600,2,C+,2.3,1
65,FEMALE,2020,White,3111,3.83,96,100,SAT,680,720,1,A,4,1
66,MALE,2020,White,3115,3.98,98.75,100,SAT,660,660,0,,,1
67,FEMALE,2020,White,3111,3.44,3.8,4,ACT,650,790,1,B-,2.7,1
68,FEMALE,2020,White,3111,2.91,3.88,4.5,SAT,700,550,1,B+,3.3,1
69,MALE,2020,TwoOrMore,3111,3,3.6,4,ACT,680,600,1,B+,3.3,1
70,MALE,2020,TwoOrMore,3111,2.66,3.61,4,SAT,570,630,1,C-,1.7,1
71,MALE,2020,TwoOrMore,3111,3.85,3.98,4,ACT,700,660,1,B,3,1
72,MALE,2020,International Cadet,3111,1.99,3.5,4,SAT,600,600,2,C,2,1
73,MALE,2022,White,3107,3.37,0,0,SAT,650,630,1,D,1,1
74,MALE,2020,White,3111,3.18,4,4,SAT,680,580,1,C+,2.3,1
75,MALE,2020,White,3111,3.97,4,4,ACT,760,790,1,H,4,1
76,FEMALE,2020,White,3111,2.98,3.97,4,ACT,660,600,1,C-,1.7,1
77,FEMALE,2020,Hispanic,3111,3.26,0,0,ACT,680,660,1,A-,3.7,1
78,MALE,2020,White,3111,2.99,3.81,4,SAT,680,590,1,C-,1.7,1
79,MALE,2020,,3213,4,3.49,4,ACT,540,500,0,,,0
80,FEMALE,2020,TwoOrMore,3115,3.1,0,0,SAT,670,490,0,,,1
81,MALE,2020,White,3111,2.84,4.05,4.5,SAT,710,520,1,B,3,1
82,MALE,2020,White,3111,3.96,3.95,4,ACT,680,790,1,A,4,1
83,FEMALE,2020,White,3111,2.68,0,0,SAT,640,620,2,C-,1.7,1
84,FEMALE,2020,Black,3107,3.12,0,0,ACT,560,600,1,D,1,1
85,MALE,2020,White,3115,3.18,0,0,SAT,640,680,0,,,1
86,MALE,2020,White,3111,3.17,3.63,4,SAT,690,630,1,B,3,1
87,MALE,2020,White,3111,2.91,3.54,4,SAT,640,500,1,C-,1.7,1
88,FEMALE,2020,Hispanic,3107,3.02,3.26,4,ACT,580,560,1,D,1,1
89,MALE,2020,Black,3111,2.42,4,4,SAT,590,620,1,C-,1.7,1
90,MALE,2020,White,3111,3.69,3.95,4,SAT,600,560,1,A,4,1
91,MALE,2020,White,3107,3.22,0,0,SAT,580,550,1,C,2,1
92,MALE,2020,White,3115,2.56,3.83,4,SAT,710,580,0,,,1
93,MALE,2020,Hispanic,3111,3.49,3.93,4,ACT,700,740,1,A-,3.7,1
94,FEMALE,2020,White,3107,2.94,0,0,SAT,520,600,1,C,2,1
95,MALE,2020,White,3115,3.35,92.81,100,SAT,760,620,0,,,1
96,FEMALE,2020,White,3111,3.7,4,4,ACT,610,680,1,A,4,1
97,MALE,2020,White,3115,2.76,3.51,4,SAT,660,640,0,,,1
98,MALE,2020,White,3111,1.81,3.88,4,ACT,650,600,2,D,1,1
99,MALE,2020,White,3111,2.9,4.39,5,ACT,700,710,1,B-,2.7,1
100,MALE,2020,White,3107,3.36,3.92,4,SAT,620,630,1,C-,1.7,1
101,FEMALE,2020,White,3107,3.14,3.82,4,SAT,620,720,1,C,2,1
102,FEMALE,2020,White,3111,2.88,3.2,4,ACT,650,740,2,C,2,2
103,MALE,2020,Asian,3111,3.55,3.97,4,SAT,660,660,1,A-,3.7,1
104,MALE,2020,White,3111,3.72,96.8,100,SAT,650,590,1,B+,3.3,1
105,FEMALE,2020,White,3111,3.33,3.32,4,SAT,680,680,1,B,3,1
106,FEMALE,2020,White,3115,3.2,5,5.45,ACT,680,790,0,,,0
107,MALE,2020,White,3111,3.12,85.31,100,SAT,620,550,1,C,2,1
108,FEMALE,2020,White,3111,3.34,0,0,ACT,600,710,1,B-,2.7,1
109,MALE,2020,,3213,3.68,3.49,4,ACT,540,500,0,,,0
110,FEMALE,2020,White,3111,3.96,4,4,ACT,660,710,1,A,4,0
111,MALE,2020,White,3111,3.24,3.79,4,SAT,600,500,1,C,2,1
112,FEMALE,2020,Asian,3111,3.3,4,4,ACT,660,680,1,B,3,1
113,FEMALE,2020,White,3107,2.8,3.72,4,ACT,630,630,2,C-,1.7,1
114,MALE,2020,White,3111,3.72,3.98,4,ACT,660,710,1,H,4,1
115,FEMALE,2020,White,3111,3.12,3.87,4,ACT,650,790,1,B+,3.3,1
116,FEMALE,2020,White,3115,3.99,4,4,ACT,790,800,0,,,1
117,FEMALE,2020,White,3111,3.67,3.88,4,ACT,650,740,1,B+,3.3,1
118,MALE,2020,Asian,3111,3.21,91.66,100,SAT,730,720,1,B,3,0
119,FEMALE,2020,White,3115,3.51,3.96,4,ACT,660,800,0,,,0
120,MALE,2020,White,3115,3.53,4,4,ACT,610,800,0,,,1
121,MALE,2020,Asian,3111,0.65,3.5,4,ACT,600,580,2,W,,1
122,MALE,2020,White,3111,3.44,4,4,SAT,710,690,1,B,3,1
123,FEMALE,2020,White,3115,3.65,4,4,ACT,760,800,0,,,1
124,MALE,2020,Asian,3211,3.81,3.63,4,SAT,720,660,0,,,0
125,FEMALE,2020,Black,3107,2.86,0,0,SAT,530,580,1,C,2,1
126,FEMALE,2020,White,3111,2.36,0,0,SAT,520,650,2,D,1,1
127,MALE,2020,White,3107,3.02,3.54,4,SAT,590,610,1,C,2,1
128,MALE,2020,TwoOrMore,3115,2.88,87.9,100,SAT,740,590,0,,,1
129,MALE,2020,White,3111,3.74,3.77,4,ACT,690,780,1,A,4,1
130,MALE,2020,White,3111,2.52,3.8,4,SAT,690,660,1,C+,2.3,1
131,MALE,2020,Asian,3115,2.67,3.67,4,ACT,740,520,0,,,1
